,Party,Year,Date,Tweet,Populist,Role,Left/right,Prog/cons
12189,FvD,2022,2022-08-22,Vanwege het zwangerschapsverlof van @SimoneKerseboom wordt @ralfdkkr morgen beëdigd als Tweede Kamerlid.We wensen Simone ontzettend veel geluk! ❤️ Moeder worden is het mooiste dat er is.Ralf heten we van harte welkom in ons Tweede Kamerteam. Samen breken we ‘t kartel! 💪🏻 #FVD https://t.co/iU3sKNLjw3,yes,opposition,right,conservative
12190,VVD,2022,2022-10-07,De VVD heeft een nieuwe voorzitter gekozen! Duizenden VVD-leden hebben de afgelopen week gestemd. Gefeliciteerd @EricWetzels!Meer weten? 👉 https://t.co/28vT1tPAeW https://t.co/IFwjiXeFYr,no,coalition,right,conservative
12191,PVV,2023,2023-03-07,Als we die honderden miljarden Nederlands belastinggeld niet aan de hobby’s van Kaag zouden besteden maar aan lagere lasten voor Nederlanders dan zou het voor de mensen een stuk makkelijker zijn! #stemzeweg #StemPVV #PVV https://t.co/tZyaRAQ24W,yes,opposition,right,conservative
12192,PvdA,2022,2022-01-21,"Dit kabinet ontkoppelt de AOW van het minimumloon, bezuinigt in de jeugdzorg en vergroot de vermogensongelijkheid in ons land. Dit moet en kan anders. De oproep van @PloumenLilianne: geef nou écht gehoor aan wat nodig is voor Nederland. #debat #regeringsverklaring https://t.co/GQdIeuqbAn",no,opposition,left,progressive
12193,JA21,2022,2022-05-13,"De gevolgen van de energietransitie worden zichtbaar. De oorlog stuwt de prijzen nóg meer op en Poetin verdient aan dit beleid. JA21 wil dat wij schone kolencentrales op 100% laten draaien, dat de gaswinning in Groningen wordt hervat en dat wij zsm overstappen op kernenergie. https://t.co/YPzLgI0mZL",yes,opposition,right,conservative
12194,BBB,2023,2023-02-26,@fransweisglas VVD durft niet te kiezenD66 kiest verkeerdCDA schaamt zich voor de keuzeKiest u wel goed? 15 maart! 16 maart ben je te laat.Stem voor #iederedagBBBeter,yes,opposition,right,conservative
12195,PvdD,2022,2022-03-05,"@ongezoute Door energie te besparen, gaan de energiekosten juist omlaag. Wie minder energie gebruikt, zou minder moeten betalen. Je vindt hier een uitgebreide uitleg over onze standpunten over de energietransitie: https://t.co/BzUeHyDcq3 ^ Lotte/PvdD",no,opposition,left,progressive
12196,DENK,2022,2022-05-17,"@AlexStoute82 Met onderstaande tweet hoopten we antwoord op uw vraag te hebben gegeven. Doordat het met een megafoon door een wijk lopen roepend dat een God niet bestaat geen karakteristiek is van het niet beleven van een religie, ligt dat dus anders.  https://t.co/r6WoFMsLTM",no,opposition,left,progressive
12197,PVV,2022,2022-09-18,Goedemorgen Nederland! ❤️ https://t.co/iPRAIQqaGz,yes,opposition,right,conservative
12198,BBB,2022,2022-05-30,@Verkoulen @lientje1967 Goedkoop? Onbetaalbaar!,yes,opposition,right,conservative
12199,BBB,2022,2022-10-23,‘Stikstofmodel Aerius is dubbel ongeschikt voor het uitkopen van piekbelasters nabij natuur.’ - blijkt uit recent onderzoek. Fractievoorzitter Caroline van der Plas (@lientje1967) stelt Kamervragen! (1/2) #stikstof https://t.co/VNmJ2vaYnr,yes,opposition,right,conservative
12200,BBB,2023,2023-02-19,@DeWerker Sterk inhoudelijk verhaal 😀,yes,opposition,right,conservative
12201,PvdA,2022,2022-11-28,"""Als we niet alles op alles zetten om sportclubs te helpen zodat dat hele sociale cement in onze samenleving overeind blijft, dan betalen we als maatschappij een hoge prijs.""@MoMohandis wil voorkomen dat sportclubs omvallen door de hoge energierekening. @WNLvandaag ⤵️ https://t.co/l5pWBE1BkA",no,opposition,left,progressive
12202,D66,2022,2022-01-10,"Maak vanavond kennis met onze nieuwe bewindspersonen! 🕤 20.30 uurPresentatie nieuw kabinet op NPO1.🕙 22.00 uurOnze nieuwe minister van Volksgezondheid, Welzijn en Sport Ernst Kuipers bij BEAU op RTL4.🕙 22.15 uurOnderwijsminister Robbert Dijkgraaf bij Op1 op NPO1.",no,coalition,middle,progressive
12203,FvD,2022,2022-07-08,"Ben je even klaar met alle serieuze politieke zaken, maar stel je gezelschap van gelijkgestemden toch enorm op prijs? Zin in een lekker stuk vlees, een borrel en goede muziek? Wees er morgen dan net als @GideonvMeijeren bij op onze Beach Club BBQ! https://t.co/2OYuKCxpzy #FVD https://t.co/2EPDPl7bAh",yes,opposition,right,conservative
12204,PvdD,2022,2022-05-24,"Motie aangenomen! Zolang er slachthuizen bestaan, doet de Partij voor de Dieren er alles aan om het vermijdelijke leed te voorkomen. Daarom moet NVWA zelf kunnen beslissen waar cameratoezicht in slachthuizen komt, om te voorkomen dat er dode hoeken zijn. https://t.co/Xcb1QwiGh0",no,opposition,left,progressive
12205,FvD,2022,2022-04-14,Het nieuwe #referendum is een fopspeen. Over de grote politieke vraagstukken - allemaal met een internationale dimensie - mag volgens deze wet geen referendum worden gehouden. Wat is het nut dan nog? Bekijk de hele speech van @thierrybaudet hier: #FVD https://t.co/mELw0hXO4h https://t.co/R4u3J2q0Vq,yes,opposition,right,conservative
12206,GroenLinks,2022,2022-02-03,"Hoe?Bijvoorbeeld door heel veel sociale huurwoningen bij te bouwen en te zorgen dat die voor veel meer mensen beschikbaar zijn.Bijvoorbeeld door maximumhuurprijzen in te voeren, zodat huisjesmelkers huurders niet meer kunnen uitknijpen en zij een eerlijke prijs betalen.",no,opposition,left,progressive
12207,DENK,2022,2022-03-08,De brandstofprijzen gaan door het dak. Wat moet er nu volgens jou gebeuren?,no,opposition,left,progressive
12208,SGP,2022,2022-04-19,Het OM eist in veel zaken mbt seksueel misbruik van minderjarigen lagere straffen dan hun eigen richtlijnen voorschrijven.Een verkeerd signaal. Er is juist een strenge aanpak nodig!Goed dat de Kamer deze motie van @chris_stoffer en @keesvdstaaij zojuist heeft aangenomen. ⬇️ https://t.co/Mfl0CwKtwP,no,opposition,right,conservative
12209,BBB,2022,2022-02-12,@BasDorsthorst Wat is je probleem Bas? Regering zegt twee jaar geleden: we gaan stoppen met de gaswinning. Nu zeggen ze: kan niet want we moeten leveren...Onze vragen: waarom is dat toen niet verteld? Waarom zij export contracten niet beëindigd? Zijn er wel contracten trouwens en stuur die ons,yes,opposition,right,conservative
12210,FvD,2022,2022-07-03,Het regeringsbeleid omtrent KLM is ronduit een fiasco. Onze belangenpositie ten opzichte van Frankrijk is gekelderd en investeringsmogelijkheden worden structureel afgewezen. Wat zou onze regering wél moeten doen? @dessingjohan legt het uit. #FVD https://t.co/uWNAyy00Gr,yes,opposition,right,conservative
12211,FvD,2022,2022-12-15,"Rutte haalde binnen 10 maanden tijd 350.000 immigranten naar Nederland. Het verergert de woningnood, de criminaliteit en de druk op onze verzorgingsstaat. #FVD wil een immigratiestop en aansturen op remigratie. Sluit je aan en sluit onze grenzen. https://t.co/x0kC6zR3bL https://t.co/flflq0preo",yes,opposition,right,conservative
12212,VVD,2022,2022-10-11,"""Je leert beter Nederlands in de bedrijfskantine dan in het klaslokaal. Het kan niet zo zijn dat statushouders hun baan opzeggen om een uitkering te krijgen.""Tweede Kamerlid @thierryaartsen. 👇 https://t.co/pYU8rv3UUb",no,coalition,right,conservative
12213,BBB,2023,2023-03-04,@JanDriessen @alexanderbakker @lientje1967 Sinds wanneer zit Rutte in Provinciale Staten? 🙈,yes,opposition,right,conservative
12214,PVV,2023,2023-02-25,Dringen voor selfie met Geert Wilders: ’Kon er niet van slapen’ https://t.co/CveprWHiJE,yes,opposition,right,conservative
12215,BBB,2022,2022-11-02,@DerkBoswijk @LvdSt CDA heeft eerder al duidelijk gemaakt: 2030 is niet heilig. Dus die zullen dat dan ook niet steunen als het in het wetsvoorstel komt. Want wat in de wet komt is heilig. We gaan het beleven!,yes,opposition,right,conservative
12216,JA21,2022,2022-11-04,Aangenomen! (5/5)@NickiVerweij https://t.co/sSkK1cjlac,yes,opposition,right,conservative
12217,BBB,2022,2022-11-02,Motie van @lientje1967 om steun voor het MKB te vergroten. (2/2) https://t.co/Ozdf0YctYR,yes,opposition,right,conservative
12218,BBB,2022,2022-08-19,"Maar eerst moet de boel hier in Nederland op orde zijn. Daarom moet het kabinet, naast een tijdelijke acute asielstop, parallel de andere landen wijzen op de afspraken in de verdragen.5/5  👇",yes,opposition,right,conservative
12219,GroenLinks,2023,2023-03-03,"""Grote bedrijven maken miljoenenwinsten, waar aandeelhouders van profiteren. Maar winst moet ook terechtkomen bij de mensen die daar elke dag keihard voor werken. Daarom moet er voor iedere euro die naar aandeelhouders gaat ook 1 naar werknemers.""- @JesseKlaver #GoedemorgenNL",no,opposition,left,progressive
12220,JA21,2023,2023-01-31,"Wordt na DSM, Unilever en Shell, Boskalis het volgende bedrijf dat uit 🇳🇱 vertrekt? “Door met regelgeving voor de troepen uit te willen lopen schiet Nederland zichzelf in de voet. Ons vestigingsklimaat wordt zo steeds minder aantrekkelijk” aldus @DJEppink in de Telegraaf. (1/2) https://t.co/rOhvRSByBY",yes,opposition,right,conservative
12221,BBB,2023,2023-01-16,@PanNederlands @lientje1967 @JOVD Hoe schrijf je zijkzemel?,yes,opposition,right,conservative
12222,FvD,2022,2022-09-26,"Een persoonlijk interview met ons nieuwste Kamerlid. Met gesprekspartner @ernstlissauer praat @ralfdkkr over zijn verrassende politieke verleden, zijn studententijd, waarom hij bij #FVD kwam en nog veel meer. Kijken! https://t.co/0Kl4wSGmZ8",yes,opposition,right,conservative
12223,BBB,2022,2022-08-11,@hans_haarsma @DitisdeDag Wij zijn tegen elke rammelende wet,yes,opposition,right,conservative
12224,Volt,2022,2022-03-18,Meer weten? https://t.co/EZ3FCMGbru ⚡🟣 https://t.co/yr4kXptvOQ,no,opposition,middle,progressive
12225,BBB,2022,2022-09-15,Trein draadje 🧵,yes,opposition,right,conservative
12226,D66,2022,2022-06-18,We zijn begonnen! Voor het eerst sinds 2019 staan de congresmicrofoons weer aan. We hebben het gemist! 💡#D66congres https://t.co/30YUmAVDF8,no,coalition,middle,progressive
12227,BBB,2022,2022-01-19,"Tot slot, de nieuwe #bestuurscultuur, het “nieuwe elan”. Hoe gaat het Kabinet dat gestalte geven? @lientje1967 somde het op in een paar simpele eerste stappen.  Is dat geen druppel op groeiende plaat? Vele druppels maken de plaat minder gloeiend👇🏻👇🏻 12/",yes,opposition,right,conservative
12228,D66,2023,2023-03-08,"Als iedereen gelijk werd behandeld, zou #internationalevrouwendag niet nodig zijn. Maar helaas. Het is keihard nodig. Want veel te vaak worden vrouwen de mond gesnoerd. Spreek je daarom uit, net als Marwa, Annemieke en Karin. Samen kunnen we het verschil maken. 🚺 https://t.co/uR6qKs5uIF",no,coalition,middle,progressive
12229,FvD,2022,2022-11-09,"Ordinaire chantage. Natúúrlijk gaan gemeenten nu ‘vrijwillig’ asielzoekers opnemen. Als ze dat niet doen, worden ze ertoe gedwongen. Met dank aan de zogenaamd immigratie-kritische #VVD!De enige echte oplossing voor de asielchaos is het sluiten van onze grenzen. #FVD https://t.co/pL6KE8dJkN",yes,opposition,right,conservative
12230,PvdD,2022,2022-01-20,@Chantalenbassie Wij zijn daarom voor o.a. een referendum. https://t.co/3QCEtNV0n5,no,opposition,left,progressive
12231,JA21,2022,2022-02-20,"""Het wokeïsme wordt langzaam de instituties ingetrokken, waardoor het langzaam niet meer vanzelfsprekend is om iets te zeggen of te maken uit eigen vrije expressie, maar dat men zich steeds vaker neigt aan te passen aan wat gewenst wordt"" aldus @RVeelo tijdens de #WokeConferentie",yes,opposition,right,conservative
12232,PvdD,2023,2023-03-07,"Bacon, veel mensen zijn er gek op.Maar hoe wordt bacon gemaakt? We hebben dat proces even voor je teruggespoeld. Niet iets om vrolijk van te worden, maar daarom juist belangrijk om te laten zien.Je kunt kiezen.Kies 15 maart #PvdD.#ps23 #verkiezingen #partijvoordedieren https://t.co/uUnBN6rRLX",no,opposition,left,progressive
12233,VVD,2022,2022-02-14,Het is #Valentijnsdag! Zullen we afspreken op 16 maart? Scan de QR-code en zet onze date in je agenda. 💙 https://t.co/origt1i4p2,no,coalition,right,conservative
12234,FvD,2023,2023-03-06,"Vanavond om 20:00 uur gaan we LIVE met Forum Inside! @ralfdkkr, @frederikfvd en @thierrybaudet zullen vanuit de studio al jullie vragen beantwoorden - of het nu gaat over onze plannen voor 15 maart of het allerlaatste nieuws vanuit Den Haag.  👉🏼 https://t.co/dhSMBHoncQ #FVD https://t.co/PXyMRDB7Xr",yes,opposition,right,conservative
12235,GroenLinks,2022,2022-03-31,"""Zelensky vraagt: stop met de import van Russische olie en gas.Dat gaat enorme impact hebben op onze economie, op onze levens.Maar als het ons echt menens is, als we naast Oekraïne staan, dan pakken we hier op door.""@jesseklaver in debat over de toespraak van @ZelenskyyUa: https://t.co/2EWxaNINKt",no,opposition,left,progressive
12236,PVV,2022,2022-02-23,Ok laten we het voor eens en altijd beslissen.Ik accepteert iedere uitkomst.Welke van de twee is correct:,yes,opposition,right,conservative
12237,FvD,2022,2022-01-19,De cijfers worden overdreven om de desastreuze lockdown en de coronapas te rechtvaardigen. De ‘pandemie’ is al lang voorbij; het is tijd voor Nederland om dat te beseffen. #FVD,yes,opposition,right,conservative
12238,BBB,2022,2022-01-19,"Welke kroegeigenaar kan de @VVD even vertellen dat het niet om ""weken"" gaat voor de kroegen....Misschien dat dan doorsijpelt wat er speelt de laatste 2 jaar. https://t.co/b07Byfcde2",yes,opposition,right,conservative
12239,BBB,2023,2023-01-04,Flevoland is uit de Zuiderzee opgetrokken om Nederland en de wereld te voeden. Op de meest vruchtbare grond op aarde verbouwen de beste boeren van de wereld voedsel. Deze grond is ons groene goud en geen speeltuin voor Haagse ambities⤵️ https://t.co/H8EBa1O1JH,yes,opposition,right,conservative
12240,BBB,2022,2022-12-29,@LauraBromet @FD_Nieuws Wat klopt er volgens jou niet aan deze insteek:https://t.co/ZbHKE7lKJP,yes,opposition,right,conservative
12241,DENK,2022,2022-06-28,In de politieke barometer van @IpsosNL stijgt jouw beweging DENK van 3 naar 4 zetels! We zijn dankbaar voor je vertrouwen. De peiling laat zien dat Nederland een eerlijker en rechtvaardiger samenleving wil. We laten niemand achter! #DENKeffect https://t.co/pjPmjUXsEs,no,opposition,left,progressive
12242,SP,2022,2022-04-16,Luistertip! 📻Vandaag is @MarijnissenL bij @WNLInDeKantine over het toeslagenschandaal en de afgelopen week.Luister tussen 17.00 en 19.00 uur mee naar @NPORadio1. https://t.co/joDKvcngZh,yes,opposition,left,progressive
12243,DENK,2022,2022-06-07,Een deel van de toeslagenouders zal nog minstens jaren moeten wachten tot er duidelijkheid is over het verloop van hun levens. Want wat kunnen zij van de overheid verwachten? @F_azarkan reageert vanavond bij @op1npo.,no,opposition,left,progressive
12244,BBB,2022,2022-11-03,"'Boerengezinnen gaan kapot door dit beleid. Ze gaan kapot! Ik ken zelf 5 gezinnen waarvan een boer zich van het leven heeft beroofd. En moet ik hier dan een showtje gaan opvoeren?"" - @lientje1967 in het #stikstofdebat",yes,opposition,right,conservative
12245,CDA,2022,2022-07-25,Staatssecretaris Marnix van Rij en gedeputeerde Friso Douwstra waren vandaag in Friesland. Ze gingen in gesprek over de kracht en toekomst van de landbouw en hele Fryske economie bij Maatschap Kooistra-Langhout in Eagum. Ook brachten ze een bezoek aan Fibremax in Joure. 💪 https://t.co/F9hIME1ymZ,no,coalition,middle,conservative
12246,BBB,2022,2022-11-27,Meer weten over weidevogels? 'Onze' @eddie_marum weet er alles van!https://t.co/ckCSmcWeAb,yes,opposition,right,conservative
12247,PvdD,2022,2022-03-22,"‘Zet dat datacenter in de ijskast’, roept onze Eerste Kamerfractie op. Om 13.50 uur stemmen!#zeewolde #meta #Facebook @telegraaf https://t.co/ETi3mPHyxJ",no,opposition,left,progressive
12248,JA21,2022,2022-04-14,"Lastenverzwaringen zijn een keuze, meneer Rutte! Wij komen wél op voor de #koopkracht van Nederlanders. Zie hier het alternatief van #JA21: https://t.co/jMh5Sjz6ft https://t.co/vNb9dbErJh",yes,opposition,right,conservative
12249,VVD,2023,2023-01-26,Al 75 jaar doen wij wat nodig is.Doe ook wat nodig is. Word lid. 👇https://t.co/3cKhxZ4EyU https://t.co/MS8t5IOwTV,no,coalition,right,conservative
12250,JA21,2022,2022-09-22,"De groep Nederlanders die de VVD vier keer op rij de grootste maakte, worden nu door diezelfde VVD keihard in de steek gelaten. Joost @Eerdmans tijdens de Algemene Politieke Beschouwingen.#APB #APB22 #APB2022 #AlgemeneBeschouwingen https://t.co/O8brNyv4AR",yes,opposition,right,conservative
12251,SP,2023,2023-03-07,Luistertip! 📻Straks is @MarijnissenL bij @Sven_op_1 over het toeslagenschandaal.Luister vanaf 11:30 uur mee via @NPORadio1. https://t.co/MLTBSMnfqF,yes,opposition,left,progressive
12252,GroenLinks,2022,2022-04-17,Voor als je het viert: een fijn en vrolijk Pasen! 🐣 https://t.co/atZdzGH8W0,no,opposition,left,progressive
12253,D66,2023,2023-03-05,"""Jouw stem op 15 maart doet er dus toe. Nederland moet verder vergroenen. En daarvoor is lef nodig. Belangrijke projecten dreigen te sneuvelen als we onwelwillende en klimaat ontkennende politici onze stem geven."" https://t.co/koj0a87ubl",no,coalition,middle,progressive
12254,CDA,2022,2022-11-05,"Anja Gerashchenko, oud-burgemeester in Oekraïne, tijdens het meditatief moment. #CDAcongresLees hier haar volledige toespraak: https://t.co/L3uJue0XiZ https://t.co/J3heZrTb1z",no,coalition,middle,conservative
12255,CDA,2022,2022-12-02,"Het CDA wil een #rookvrijegeneratie. Extra maatregelen zijn hard nodig. Zoals meer rookvrije plekken, smaakjesverbod bij e-sigaretten #vapes en minder verkooppunten. Daarom is het CDA blij met deze maatregelen. https://t.co/y7yMRyDBuO",no,coalition,middle,conservative
12256,JA21,2022,2022-04-21,"Telkens weer blijkt dat #kernenergie enkel voordelen heeft. Het is schone, betrouwbare en betaalbare energie. Waar wachten we nog op?! #JA21 wil dat we zo snel mogelijk beginnen met het bouwen van nieuwe kerncentrales. https://t.co/CNgBkax7oh",yes,opposition,right,conservative
12257,ChristenUnie,2022,2022-06-03,Dit weekend zijn we te vinden bij @opwekking. 🕊 Ben jij ook van de partij? Kom dan gezellig langs onze ChristenUnie-stand om in gesprek te gaan met onze Tweede Kamerleden en bewindspersonen. Houd onze Twitter in de gaten voor de precieze tijden. #opwekking2022 #opwekking https://t.co/3PJReApIJH,no,opposition,left,middle
12258,BBB,2023,2023-03-05,"@baljeuj @VVD Wij gaan in de TK niet met Rutte in een kabinet. Punt uit. Dat zegt niets over samenwerking met de VVD in de provincies. Ze is duidelijk daarover en zegt: ""ik"" , niet ""we""....",yes,opposition,right,conservative
12259,PvdD,2022,2022-03-09,@aa_vderpol1 Wij zijn er zonder meer op tegen dat mensen in Nederland verplicht afscheid moet nemen van hun huisdier (tenzij bij dierenmishandeling uiteraard).,no,opposition,left,progressive
12260,CDA,2022,2022-06-01,Oud premier Jan Peter Balkenende opende vandaag het EPP Congress. 👉 Kijk zijn speech hier terug: https://t.co/N0qNlqTISL#EPProtterdam #WeStandWithDemocracy https://t.co/bAKECsTeKK,no,coalition,middle,conservative
12261,SP,2022,2022-08-10,Op 17 september is het PrinsjesdagProtest en komen we in actie! Een noodplan is nodig. Meld je hier aan.👇https://t.co/3CatbYI1bJ,yes,opposition,left,progressive
12262,JA21,2022,2022-04-13,Kijktip. Twintig jaar na de moord op Pim Fortuyn staat de uitzending van @Jinek_RTL vanavond volledig in het teken van zijn nalatenschap. Joost @Eerdmans is uitgenodigd als gast. https://t.co/81vEG5ikgN,yes,opposition,right,conservative
12263,BBB,2022,2022-10-28,@Martien05142034 @ad_baltus of @Daan_wr  kun jij bij elk nummer het beroep vermelden?,yes,opposition,right,conservative
12264,BBB,2022,2022-11-11,"@marjobryan @JD150121 @LeanderBroere @chriszeeven Nou, je komt niet verder dan nepnieuws en laster.",yes,opposition,right,conservative
12265,BBB,2022,2022-02-03,@Lisaaaa57673548 @AadBrinkman @lientje1967 uit peilingen en onderzoeken blijkt dat BBB kiezers uit alle hoeken van het politieke veld trekt,yes,opposition,right,conservative
12266,FvD,2022,2022-07-13,Nederlanders worden geweerd uit hun eigen steden. In Utrecht gaat straks geen enkele sociale huurwoning nog naar een Nederlander. Ze zijn allemaal bestemd voor immigranten. De grenzen blijven ondertussen wagenwijd openstaan. #FVD #omvolking https://t.co/7duUGsJhqQ,yes,opposition,right,conservative
12267,BBB,2022,2022-09-21,@MarkRothuizen De minister startte haar verhaal over de begroting met de oorlog in Oekraïne..... ff lezen,yes,opposition,right,conservative
12268,BIJ1,2022,2022-08-01,We vragen de minister onder andere:▶️ Te onderzoeken wat het Nederlandse aandeel hierin is geweest.▶️ Of hij bereid is de Nederlandse bijdrage aan Frontex op te schorten.▶️ Wat hij concreet gaat doen om illegale pushbacks door Griekenland te beëindigen.,no,opposition,left,progressive
12269,FvD,2022,2022-08-19,"Hoe kan #China enerzijds de grootste bedreiging voor het Westen zijn, maar anderzijds ook de grootste inspiratiebron van de Europese elites? Op donderdag 25 augustus proberen we met u tot een antwoord te komen tijdens ons China Symposium! Tickets: https://t.co/WVRePkFjP2 #FVD https://t.co/qPXYq1ai7D",yes,opposition,right,conservative
12270,VVD,2022,2022-12-13,Tweede Kamerlid @HattevdWoude in de NRC over het beheersen van de toestroom van buitenlandse studenten. 👇https://t.co/uUWcOawagg,no,coalition,right,conservative
12271,SP,2022,2022-12-23,Luistertip! 📻Vanmiddag is @MarijnissenL bij @BNRfridaymove over haar nieuwe boek 'De winst van eerlijk delen'.Meer weten over het boek? Kijk dan hier👇https://t.co/CDTVPZ5VubLuister vanaf 17.00 uur mee via @BNR. https://t.co/RnPspCl7ti,yes,opposition,left,progressive
12272,BBB,2022,2022-07-27,@schildnijhuis @NUnl Kijk eerst even op onze tijdlijn aub...,yes,opposition,right,conservative
12273,PVV,2022,2022-11-23,De #stopbonus is uiteindelijk bedoeld om de boeren weg te jagen voor een niet bestaand stikstof probleem om vervolgens huizen te kunnen bouwen die vooral naar asielzoekers gaan en daarna voor Nederlanders de belastingen te verhogen om dat allemaal te financieren.,yes,opposition,right,conservative
12274,PVV,2022,2022-08-18,Politie moet wapenstok gebruiken tegen agressieve asielzoekers die klagen over het ontbijt en de lunch. Er zou te weinig rekening worden gehouden met hun dieetwensen.SORRY? KLAGEN?Zet het leger in en gooi ze het land uit! https://t.co/uU3FOOM8h8 #utrecht,yes,opposition,right,conservative
12275,BBB,2022,2022-07-05,@EJGaag @BvanderVelde6 @PGKroeger @Colinda84breda @lientje1967 @FarmersDefence Bij het filmpje staat dat er een bloemenmengsel is ingezaaid.,yes,opposition,right,conservative
12276,JA21,2022,2022-10-18,"Weer een motie van @NickiVerweij aangenomen! Zij roept de regering op de belemmeringen weg te nemen, zodat kopers van kant-en-klaar woningen -die rechtstreeks uit de fabriek komen- ook in aanmerking komen voor de Nationale Hypotheek Garantie. Ingediend samen met @WybrenvanHaga. https://t.co/V9EgKme7ms",yes,opposition,right,conservative
12277,FvD,2022,2022-06-07,"De #gaswinning in Groningen moet nu worden hervat, zegt ook de Mijnraad. Wij waarschuwen al jaren voor de gevolgen van het dichtdraaien van de gaskraan. #FVD wil Nederland laten draaien op eigen gas. Zo kan de energierekening omlaag en zijn we onafhankelijk van het buitenland. https://t.co/xo71AHrHWa",yes,opposition,right,conservative
12278,JA21,2022,2022-01-27,"Dit komt enkel en alleen door rampzalige beleidskeuzes. Een door overijverige ambtenaren bedacht stikstofprobleem en het willen nastreven van onmeetbare klimaatdoelen in een tijd van torenhoge inflatie, zorgen ervoor dat u de komende jaren steeds minder te besteden heeft. https://t.co/3PiCJw2lzs",yes,opposition,right,conservative
12279,GroenLinks,2022,2022-02-14,Politieke invloed mag niet te koop zijn.Maar in Nederland kun je rustig een miljoen doneren. En hebben we vaak geen idee van wie giften komen.Daarom komen wij morgen met deze voorstellen om de schimmigheid rondom partijfinanciering te doorbreken. 👇https://t.co/8qzWbHFDTG,no,opposition,left,progressive
12280,VVD,2022,2022-08-15,Tweede Kamerlid @UlysseEllian vertelt in het Parool waarom Nederland een land is om trots op te zijn. 👇https://t.co/fzWNOnUYjG https://t.co/HhSWosxMRZ,no,coalition,right,conservative
12281,BBB,2022,2022-11-13,"@AylinBilic Mwoh... Als ze allemaal op ons aan gaan stemmen, neemt de versnippering toch af? 😉",yes,opposition,right,conservative
12282,BBB,2022,2022-08-09,"Het komt wat ons betreft over als: de informatieplicht naar de Kamer nemen we als partijen totaal niet serieus meer, dus waarom zou het kabinet het nog serieus moeten nemen..Lees hier de schriftelijke inbreng van BBB:https://t.co/LPGGEyrtUK",yes,opposition,right,conservative
12283,DENK,2022,2022-02-15,‘Waarom geeft het kabinet onder leiding van Rutte telkens blijk van het niet belangrijk vinden van het bestrijden van de mogelijkheden tot corruptie en het bevorderen van de integriteit?’ - @StephanvBaarle ownt het debat 🔥🔥 https://t.co/3ye5gn1ecr,no,opposition,left,progressive
12284,PvdD,2022,2022-03-04,"@gjavanputten @FrankvdH2 @TheodoortjeFR @estherouwehand Hoi GJA, ik zie dat je niet helemaal op de hoogte bent van ons programma. Hier kun je, in gewone taal, lezen waar we voor staan met Plan B: https://t.co/IFUzNL1e34",no,opposition,left,progressive
12285,FvD,2022,2022-06-16,Kartelpolitici zinspelen al op nieuwe coronamaatregelen in de herfst. Niet voor niets wordt er gewerkt aan een permanente coronawet. @PvanHouwelingen waarschuwt voor de lockdowns die ons te wachten staan als we wéér meegaan in de tunnelvisie van de mensen aan tafel. #FVD #debat https://t.co/eCqWy61N6o,yes,opposition,right,conservative
12286,PVV,2022,2022-06-07,Mooi. Haal dat onzinnige geldverslindende en boervernietigende #stikstofbeleid maar snel onderuit. Met een beetje geluk is dat ook einde Rutte IV 👍#stikstof,yes,opposition,right,conservative
12287,FvD,2023,2023-02-24,"Maak autorijden weer leuk en betaalbaar, kan gewoon. Stem #FVD 15 maart. 🏛️ https://t.co/onhvGRy8xK",yes,opposition,right,conservative
12288,SGP,2023,2023-03-03,"""Hoe geloofwaardig is de zogenaamde strijd tussen VVD en PvdA/GroenLinks?""""Bij kabinet Rutte II leidde het in 2012 uiteindelijk tot een knuffel tussen VVD en PvdA en gingen ze samen regeren.""- Kees van der Staaij bij het #radiodebat #radio1debat",no,opposition,right,conservative
12289,BBB,2022,2022-11-02,"Zelfs als wij allemaal, met onze (huis)dieren het land verlaten, dan nog halen wij de waarden voor Stikstofdepositie niet die in de wet staan..... De door NL zelf gemaakte stikstofwet is ondeugdelijk en moet terug naar de tekentafel!https://t.co/J5QCbDp9Lc via @NOS",yes,opposition,right,conservative
12290,D66,2022,2022-02-21,"Minister @RHDijkgraaf gaat op bezoek bij mbo-scholen, hogescholen en universiteiten door het hele land.Werken aan vooruitgang begint ook door het gesprek aan te gaan met studenten. Alleen zo kunnen we aan al die grote plannen werken. 👇 https://t.co/86PcuIQ2lI",no,coalition,middle,progressive
12291,PVV,2022,2022-06-23,"Cheers @FDW_VB, @SamvanRooy1 en @MartinHelme! https://t.co/fIiGYU9aa2",yes,opposition,right,conservative
12292,BBB,2022,2022-01-19,@Jan70436025 @lientje1967 Gezond verstand heet dat 😁,yes,opposition,right,conservative
12293,CDA,2023,2023-02-26,De markt bouwt geen gemeenschappen. Bij het #WNLdebat was onze stelling daarom: 👉 Geef eigen inwoners voorrang op een woning.  @TheoBovens licht toe waarom het CDA gemeenschappen wil bouwen #VoorHeelNederland👇 https://t.co/0VjGtlZIrT,no,coalition,middle,conservative
12294,PVV,2022,2022-09-22,Premier Mark “Wir schaffen das” Rutte heeft geen idee hoeveel niet-westerse allochtonen hij als premier in ons dichtbevolkte land heeft binnengehaald (1.000.000) en hoeveel ons dat jaarlijks kost (20 miljard euro). Ongelooflijk!#abp2022 #PVV #Wilders https://t.co/Lp1uR7pikt,yes,opposition,right,conservative
